,asin,helpful,overall,reviewerID,unixReviewTime
70,738919039,"[17, 19]",5,A3IYNAOWN7AD2V,1009497600
71,738919039,"[1, 1]",5,A3GQ2R6MBOORGL,1319500800
72,738920363,"[47, 49]",4,A3QY2B5J90POMC,975628800
73,738920363,"[3, 3]",5,A1E9N5FK21NDTD,1072656000
74,738920363,"[42, 44]",5,A3RX5RMRAJ8Z5B,1127001600
75,738920363,"[0, 0]",5,A2RNUPVSNW1ZXX,1016755200
76,738920363,"[0, 0]",4,A1WEHJG963TAGN,1404518400
77,738920363,"[4, 4]",5,A1GUX6R8DV3ZLY,1140652800
78,738920363,"[1, 1]",4,A2QWF2BJ2FM4R2,1143072000
79,738920363,"[1, 2]",4,A9REEKTBGZ5W0,1128297600
80,738920363,"[0, 0]",4,AGEKVD8JPZQMT,1258588800
81,738920363,"[9, 9]",5,A2JP0URFHXP6DO,1109635200
82,738920363,"[1, 1]",5,A3NHEESWQF7XX2,1183420800
83,738921475,"[9, 9]",5,A3HETHW2XD3DWH,1097452800
84,738921475,"[0, 0]",5,A3L8YUEWQM3K5K,1354147200
85,738921475,"[21, 21]",5,A1GX0RFRS0GWRA,950745600
86,738921475,"[0, 0]",5,A1FQ951TEPD8XC,1299110400
87,738921475,"[0, 0]",5,A3S3R88HA0HZG3,1256688000
88,739060287,"[4, 4]",5,AAKGTWGAFT1LQ,1260662400
89,739060287,"[3, 3]",5,A1LMRNLRG0I927,1301875200
90,739060287,"[2, 8]",3,A2SOJKZQQKUNBZ,1278979200
91,739060287,"[1, 2]",5,A3KNDZXZSCQ5JT,1265155200
92,739060287,"[2, 3]",5,A2K3SULCNHLSQ5,1297987200
93,760135002,"[2, 5]",3,A3C6X0DAM87GN4,978220800
94,760135002,"[4, 9]",3,A3HD49D8511MFB,1079913600
95,760135002,"[3, 13]",2,A1G69BQLIUMWPN,1107820800
96,760135002,"[0, 2]",2,AVHCWL9AHLEL9,968198400
97,760135002,"[6, 10]",4,ASIA7V7CBSKD3,1129939200
98,760135002,"[1, 5]",1,A379BEI7Z151X7,969753600
99,760135002,"[24, 27]",5,AYJNY01NFTVX3,1018569600
100,760135002,"[0, 0]",5,A1P65SJRBJY07B,1379808000
101,760135002,"[0, 0]",4,A4Z9NHOW5LT0M,1371254400
102,760135002,"[13, 15]",4,AQBRMBQ99ESI7,1115078400
103,760135002,"[1, 3]",5,A13KXWTN0DT878,965260800
104,760135002,"[1, 3]",1,A1935MTY2YEK5X,974851200
105,760135002,"[12, 15]",4,A2NJO6YE954DBH,1087516800
106,760135002,"[6, 6]",5,A2WFXUOK8KU7KS,1004227200
107,760135002,"[0, 1]",5,A91LE0MPYE8GJ,965347200
108,760135002,"[0, 1]",2,A1ZE5YHH3JN79P,1025913600
109,760135002,"[0, 0]",5,AIYNTP111PUS3,976665600
110,760135002,"[7, 7]",2,A1FIN5AVGVDXFF,983836800
111,760135002,"[1, 1]",4,A96K1ZGW56S2I,1034035200
112,767804341,"[1, 1]",5,ATRSMMGI4A1A1,1399248000
113,767804341,"[5, 5]",3,A1582S1ID9H9CB,1041120000
114,767804341,"[11, 12]",5,A1LB3QFH4O7693,997833600
115,767804341,"[2, 7]",3,AEOBOF2ONQJWV,1097884800
116,767804341,"[5, 5]",5,A3N8RZSXKN1OR2,1035072000
117,767804341,"[1, 1]",4,A39CX0EE4BZCZC,1189123200
118,767804341,"[144, 159]",4,AKDXXW89ZLCJS,1029715200
119,767804341,"[0, 0]",5,A2ZNJKY01ANDHG,943660800
120,767804341,"[0, 0]",5,A12WC4WH3SXLBG,1202947200
121,767804341,"[9, 11]",5,AD9WTAOAFUZA4,1019692800
122,767804341,"[6, 7]",5,ARA8SJ6IQZ1Q,1040947200
123,767804341,"[8, 8]",5,A30BCRSABL9AYI,1135900800
124,767804341,"[10, 10]",5,A2HTB0YFLXGZN,1133568000
125,767804341,"[3, 3]",5,A1JJOV69MAU2J2,1002672000
126,767816641,"[1, 15]",2,A1RNLPUDOD5ZNG,1094774400
127,767816641,"[6, 7]",5,A1B38S1YJR1PQD,1030406400
128,767816641,"[4, 7]",3,A23XVF23C7BHP0,1009497600
129,767816641,"[8, 9]",5,A1D2C0WDCSHUWZ,989971200
130,767816641,"[13, 14]",5,A1G9FX1KV45N41,1099872000
131,767816641,"[0, 0]",4,AHQYCRL2FMG3D,1034208000
132,767816641,"[1, 1]",4,A370Z6I5GBWU44,1313366400
133,767816641,"[0, 0]",4,A2RQI7CVN8V6BO,1063238400
134,767816641,"[0, 0]",5,A39IY0JU5JI69G,1274400000
135,767816641,"[0, 0]",5,A9GFQR1VQSTI7,1383350400
136,767816641,"[8, 9]",4,ASJ89T42CIUHU,1102464000
137,076783822X,"[2, 18]",1,A1E9N5FK21NDTD,1038787200
138,076783822X,"[0, 4]",3,A30H2335OM7RD6,1016064000
139,076783822X,"[1, 2]",5,A3LOGB40YCC40F,1125187200
140,076783822X,"[2, 2]",4,A33H0WC9MI8OVW,1060387200
141,076783822X,"[1, 1]",5,ARJIAB8SLWAOU,1136764800
142,076783822X,"[11, 11]",5,AGFW667QNHDOY,1044230400
143,076783822X,"[0, 0]",5,A32HMOZVKF25A,1276905600
144,076783822X,"[9, 9]",5,A3X3VQV4S5MWJ,1078963200
145,076783822X,"[2, 13]",3,A1CQON0P01BITL,1113264000
146,076783822X,"[1, 1]",3,A3K93OWHKHGI9V,1021334400
147,769716903,"[19, 19]",5,A2VZ11U5DXM8J5,994636800
148,769716903,"[0, 0]",4,A1JMR6MVOIC38K,1270944000
149,769716903,"[23, 23]",5,AQSNJ8HQ3WHMS,1069545600
150,769716903,"[1, 1]",5,A1SWRPUO5LBNV1,1176422400
151,769716903,"[4, 4]",4,AS1CP16M32WDX,1126569600
152,769716903,"[0, 0]",5,AQ3IJH9C3Y9B7,1305244800
153,769716903,"[6, 9]",4,A30XZO9A3H5BYH,1069804800
154,769716903,"[6, 7]",5,A3P5PX1Y9AH1VX,1098144000
155,769716903,"[1, 1]",5,A20ITI6SAIKPK4,1352851200
156,769716903,"[0, 0]",5,AQLUOAHVFQXUW,1303430400
157,769716903,"[2, 5]",4,A9Q28YTLYREO7,1073779200
158,769716903,"[0, 0]",5,A2ZAS1OA2E02AS,1210809600
159,769716903,"[2, 2]",5,AW7BIYHXUIZ62,1205884800
160,769716903,"[0, 0]",5,A3CPQQFD3ZAY94,1328918400
161,769720226,"[2, 3]",5,A2M2PBS2FJKHEP,1348790400
162,769720226,"[1, 2]",4,A2VJ80PM1G00QV,1218153600
163,769720226,"[7, 9]",3,AAO65TYIB3M98,1169164800
164,769720226,"[22, 63]",1,A2ZGX2UFEGXORB,1129680000
165,769720226,"[0, 0]",5,A1CVAO990TA6S0,1388966400
166,769720226,"[1, 1]",4,A37F5BQAYL9NFG,1215993600
167,769720226,"[135, 137]",4,AUX9KZUUB3YCE,1077148800
168,769720323,"[9, 9]",3,A34GFFWTM6R6UM,1139788800
169,769720323,"[1, 1]",5,A2PXQGYYWWMIBD,1118016000
170,769720323,"[4, 4]",3,A2PR6NXG0PA3KY,1191628800
171,769720323,"[1, 1]",4,AXLN36UV9KGXD,1251590400
172,769720323,"[4, 7]",4,AHE4T371JTLE9,990144000
173,769720323,"[5, 9]",5,A2HXLULZZ9JDXS,1180224000
174,769720323,"[8, 8]",2,A9IIGU57VFX0D,1168128000
175,769720366,"[3, 8]",3,A1PHZX1ZR991D1,1186790400
176,769720366,"[31, 33]",4,ACZ6J3L2C0IZ6,1045612800
177,769720366,"[7, 15]",4,A3BU6QT97HMF,1101168000
178,769720366,"[10, 10]",4,A1M38LSUD8E72J,1097884800
179,769720366,"[1, 2]",3,AMVLSBP59YGNG,1247616000
180,769720366,"[16, 16]",4,A1TX3VNWII1TOJ,1063929600
181,769720382,"[8, 8]",4,A2CNQ1JV16GHW2,1091750400
182,769720382,"[1, 1]",4,AOWNQQG5UHK9U,1300492800
183,769720382,"[14, 14]",4,A3DJU7CLZSTWDI,1070928000
184,769720382,"[1, 16]",3,A174KKD8774U3I,1085356800
185,769720382,"[15, 17]",3,AJ9SN2IZYS2QJ,1070841600
186,769720382,"[0, 3]",2,A1W6VRRYQBNCEL,1270944000
187,769720382,"[7, 11]",2,A3CD13PVV6EBN7,1001289600
188,769720382,"[0, 4]",4,A2EQRJRACBXLWE,1246492800
189,769720382,"[2, 2]",4,A32U96RR2TCPA3,1084492800
190,769720382,"[3, 3]",5,A1PMEH3Y4LLS31,1265068800
191,769720382,"[7, 10]",3,A1C2HRCR4ZFZV0,1098662400
192,769720994,"[1, 1]",5,AQ6J4B5WLGRJ5,1388620800
193,769720994,"[0, 0]",5,A1FEKH66XUTTOP,1384819200
194,769720994,"[5, 10]",3,A1K548TDR33DMN,1273449600
195,769720994,"[3, 6]",5,ARAWCI4L3QZVB,1161043200
196,769720994,"[8, 9]",4,A3OOHUTFTO6UZR,1220832000
197,769720994,"[0, 3]",5,A3H65YPNJWG0L9,1247961600
198,769720994,"[38, 41]",5,AAJTZPX7HDE5U,1093737600
199,769720994,"[7, 10]",4,A1O5B80VRP13G6,1092700800
200,769720994,"[12, 13]",5,A32ST19OAD7QSA,1174262400
201,769720994,"[20, 28]",3,ADJD728TYDG1P,1106352000
202,769720994,"[10, 11]",5,A13E0ARAXI6KJW,1088812800
203,769720994,"[14, 23]",3,A1UBBIDQTDDF79,1138320000
204,769720994,"[2, 4]",5,A2PR6NXG0PA3KY,1194220800
205,769720994,"[72, 78]",5,A1VJ7HYM1EC94M,1094774400
206,769720994,"[5, 9]",5,A1O165GYI6RRDD,1127520000
207,769720994,"[1, 2]",5,A377TIGOY65JRV,1386720000
208,769720994,"[19, 36]",1,A2ZGX2UFEGXORB,1201996800
209,769720994,"[44, 53]",3,A24I3BMB9JZC7O,1104192000
210,769720994,"[1, 3]",5,A28Y16C36K6NTM,1388534400
211,769720994,"[1, 3]",5,A2FRBG5HATIV7U,1294185600
212,769720994,"[4, 6]",4,A2D1A89RVEIYES,1093651200
213,769720994,"[2, 3]",5,A22SKHF3YSCGQY,1265587200
214,769720994,"[2, 3]",5,A3LY9U7CTCF8NB,1284508800
215,769721125,"[3, 3]",5,A2NFTFQYW8GXIQ,1111968000
216,769721125,"[1, 1]",5,AB0YB6NXKRFWB,1382054400
217,769721125,"[21, 24]",4,A1D17I3PY4OOOJ,1154390400
218,769721125,"[7, 7]",5,A3AEPW7A4AUBKE,1112400000
219,769721125,"[2, 2]",5,A4BPH1AIUZ8UB,1286064000
220,769721125,"[2, 2]",5,A3PQJ6J7FOOWFG,1344297600
221,769721125,"[5, 7]",5,A2ZGX2UFEGXORB,1138492800
222,769721125,"[4, 4]",4,A1V5XG7M6JHADW,1053993600
223,769721125,"[7, 7]",5,A3S45WKVHUDZOB,1198368000
224,769721125,"[5, 8]",2,AD6Q8AD5V5OXJ,1302480000
225,769721125,"[9, 10]",5,A32ASMR822BFSE,1216339200
226,769721125,"[2, 2]",5,A1GEJL2EV4JY5S,1235520000
227,780018664,"[0, 0]",4,A3MV1KKHX51FYT,1282089600
228,780018664,"[3, 7]",4,A2K3LZPH3ND94V,1167868800
229,780018664,"[8, 36]",1,AQS3Z062MTX0L,1015200000
230,780018664,"[3, 3]",5,A1GSR7RGCG1QYZ,1249344000
231,780018664,"[54, 56]",5,AEQMXKCI6NTOQ,975628800
232,780018664,"[2, 3]",4,A2GANR9I6XHTU9,1169337600
233,780018664,"[0, 0]",5,ANCOMAI0I7LVG,1213574400
234,780018664,"[3, 4]",5,A1GGOC9PVDXW7Z,1268524800
235,780018664,"[6, 6]",5,A3LTZGHZBBBQX0,1378598400
236,780018664,"[3, 3]",5,A62G4QX6XQVLP,1165190400
237,780018664,"[1, 6]",4,A2ILOYARQVO4K1,989193600
238,780018664,"[1, 1]",5,A2XKQHB8VCUCJK,1385942400
239,780018664,"[8, 8]",5,AEBOD21JROJ4G,1105660800
240,780018664,"[3, 3]",5,AIMR915K4YCN,1083196800
241,780018664,"[5, 6]",5,A2CW9IQAPFEYLM,1129334400
242,780018664,"[4, 5]",5,A2S0DU8QTQSKWK,1341100800
243,780018664,"[0, 0]",5,AMUQ066OXNH0P,1392940800
244,780018664,"[1, 1]",5,A1GHUN5HXMHZ89,1300406400
245,780018664,"[1, 1]",5,A2E3F04ZK7FG66,1218326400
246,780018664,"[0, 0]",4,A2XNOB1T796Y6B,1274054400
247,780018664,"[1, 2]",5,APQ8N1UKS1RDC,1187395200
248,780018664,"[2, 2]",5,A2GCHG6U8HTVIT,1349913600
249,780018664,"[0, 2]",5,A2QVH20TESJNI6,1075852800
250,780018664,"[1, 2]",5,A1ALVVNRJCJ6UI,1371859200
251,780018664,"[0, 0]",5,A10E3F50DIUJEE,1212624000
252,780018664,"[11, 12]",5,A3R2YB0WTTB0IJ,974332800
253,780018664,"[1, 1]",5,A2B73CL3QSYWLB,1178928000
254,780018664,"[4, 5]",5,A1JH5J1KQAUBMP,1131667200
255,780018664,"[1, 2]",4,A1DAOL3NMHEPLS,1054512000
256,780018664,"[2, 3]",5,A3JMWIOTUBOJI7,1093478400
257,780018664,"[5, 5]",5,AH0K6KAO3N1RH,1103673600
258,780018664,"[0, 0]",4,A2C7BOQVFH1HLE,1302825600
259,780018664,"[1, 1]",5,A14CC5FIPR5YVF,1071446400
260,780018664,"[5, 6]",5,A3QFX19WZ4J5QD,1112054400
261,780018664,"[2, 3]",5,A260HPXUTLD8VV,977443200
262,780018664,"[4, 4]",5,A25FDX17O3QKLT,1115769600
263,780018664,"[0, 0]",5,A29ND8RD38SEUZ,1358899200
264,780018664,"[2, 2]",5,A16CZRQL23NOIW,1135123200
265,780018664,"[3, 3]",5,A2BLITJITO97N5,1102636800
266,780018664,"[1, 1]",5,A366S12KCZ280V,1376524800
267,780018664,"[0, 0]",5,A57JIBFWM3L0H,1223856000
268,780018664,"[1, 2]",5,A2PJF3WBB1NIJ7,1377475200
269,780018664,"[4, 4]",5,A10ODC971MDHV8,1125878400
270,780018664,"[2, 3]",4,A2MFNDNS1L7D16,1086134400
271,780018664,"[0, 1]",5,AS0IKFFQS2HD2,1217894400
272,780018664,"[13, 14]",5,A1UI2N2LBGVKC7,944697600
273,780018664,"[1, 1]",4,A34D06JL7LC6MU,1159574400
274,780018664,"[0, 0]",5,A3VUO1LJGMSZQY,1381536000
275,780018664,"[2, 5]",4,AFCQWNNJW6S9G,1179187200
276,780018664,"[2, 2]",5,A2D9IEFJGB483Q,1016496000
277,780018664,"[0, 1]",4,AVF60NZ99H9D5,1214956800
278,780018664,"[1, 9]",4,A202FGBQHO5638,976838400
279,780018664,"[9, 10]",5,A2NJO6YE954DBH,1099094400
280,780018664,"[0, 0]",5,A25KKXUQQ0OLWB,1254355200
281,780018664,"[5, 7]",5,A96VY2TCAHE4G,1191542400
282,780018664,"[8, 8]",5,A1D2AXVN20OQZD,1111795200
283,780018664,"[1, 1]",5,A2M1N8G4W4END8,1078185600
284,780018664,"[0, 3]",5,A33FS5H3CPDR6D,1091923200
285,780018664,"[12, 12]",5,A3UPYGJKZ0XTU4,1142294400
286,780018664,"[0, 0]",4,A3QLAOOTFEHCJI,1316304000
287,780018664,"[1, 2]",5,A1VXN0LM7NUQ3L,1156982400
288,780018664,"[3, 4]",5,ATA8H1N7VNO56,1013644800
289,780018664,"[4, 5]",5,A1D3XQC2DIT,1160438400
290,780018664,"[2, 2]",5,ALNF2JWN3URSH,977443200
291,780018664,"[1, 1]",5,AMKZHBOK7VMQR,1351468800
292,780018664,"[2, 2]",5,A2R1HAXRNU0QX7,1326672000
293,780018664,"[1, 2]",4,A2EDZH51XHFA9B,1072051200
294,780018664,"[1, 1]",4,A37S3ACL57LN62,1236816000
295,780018664,"[0, 0]",4,A1C58YXM2A30CY,1300579200
296,780018664,"[3, 4]",5,A3BSS2M2DPPV4T,958694400
297,780018664,"[2, 2]",4,A2PNTEDGMOLMOY,1156896000
298,780018664,"[1, 2]",5,A18I75O0V5RAH8,968803200
299,780018664,"[3, 5]",5,A2FX7PLXZ5OWQ,1201219200
300,780018664,"[3, 3]",5,AK61LQI92GTCH,1103328000
301,780018664,"[17, 21]",3,AI0OAQ6E2O8VF,1080864000
302,780018664,"[3, 7]",5,A1O0K1F4OF9UU4,1103328000
303,780018664,"[6, 14]",5,A1WYIDGR8ZG21X,1098921600
304,780018664,"[2, 2]",5,A2YKADCJME4FSW,1285459200
305,780018664,"[2, 5]",4,A5X1B2HBQUR3P,1201132800
306,780018664,"[1, 1]",5,A18758S1PUYIDT,1267401600
307,780018664,"[1, 4]",5,A2DVISAU15HTK6,1055462400
308,780607287,"[12, 13]",4,A6HZN83OUPYRN,928886400
309,780607287,"[0, 0]",5,A3EFQNLPCV5XNV,1367366400
310,780607287,"[2, 5]",5,AZSN1TO0JI87B,998611200
311,780607287,"[0, 0]",5,A36TS3FBEXCC40,1404172800
312,780607287,"[1, 1]",5,A31RM5QU797HPJ,1019952000
313,780607287,"[0, 0]",5,A31KJATKA2MWSI,1366070400
314,780607287,"[4, 4]",5,A3D0UF95QP9D78,976924800
315,780607287,"[0, 0]",5,A3PFYGUA9E0V0M,1219017600
316,780607287,"[0, 0]",5,A33FE8NR17Y1AE,1392940800
317,780607287,"[2, 2]",5,A2MHRCMFF9C7UV,1038960000
318,780607287,"[0, 0]",5,A3N8RZSXKN1OR2,1303171200
319,780607287,"[4, 4]",5,ABRMCRFKZURWJ,1107561600
320,780607287,"[0, 0]",4,A1AISPOIIHTHXX,1177891200
321,780607287,"[1, 1]",5,A1LBGXE29GG1IR,1345852800
322,780607287,"[0, 2]",5,A10FHA5E7VEDTW,1032134400
323,780607287,"[1, 1]",5,AWG2O9C42XW5G,1136073600
324,780607287,"[3, 4]",3,A138826JMC0J3T,1037923200
325,780607287,"[0, 0]",4,AQZH7YTWQPOBE,1343347200
326,780607287,"[0, 4]",5,A382CQ2Z4SNPOC,1089417600
327,780607287,"[8, 8]",4,A11EQY5UW4GNL8,1110153600
328,780607287,"[1, 1]",5,A1TSNQP8PENS3,1182211200
329,780607287,"[1, 1]",5,AEFRJ6ZBKGZV2,1051056000
330,780607287,"[0, 0]",4,ACKDSX71VI5HY,1273017600
331,780607287,"[2, 8]",3,A319SKSB556033,1093651200
332,780607287,"[3, 4]",5,A2GBNMYG9P9KCM,1031011200
333,780607287,"[3, 3]",5,A2828HLP7LEXRQ,1084406400
334,780607287,"[13, 14]",4,A1CT7QHFUI5G4Q,1003881600
335,780607287,"[0, 1]",4,ATS1HA5M3EPZ4,1054771200
336,780607287,"[1, 1]",5,ALU8RT25JPQLH,1313884800
337,780607287,"[0, 0]",5,A48VQ893Z2KQR,1082764800
338,780607287,"[3, 3]",4,A1CKKNYSC5DEW3,1103673600
339,780607287,"[0, 0]",4,AMPX3331B26QH,1356739200
340,780607287,"[0, 1]",5,A2WA8R7ZNUHZMA,1079740800
341,780607287,"[1, 1]",5,A13TO1ZFAH9SVN,1092009600
342,780607287,"[2, 2]",5,A24MFKJNHJDVZF,1209340800
343,780607287,"[1, 1]",4,ANAYSRE3LX8GZ,1083715200
344,780607287,"[0, 0]",4,A2WCRX5OQM6FED,1177113600
345,780607287,"[4, 4]",5,A3FPGV1P104WFW,995068800
346,780607287,"[1, 1]",5,ABCQUA65LGRKK,1116201600
347,780607287,"[2, 2]",5,A329U9CDUPKXAC,1040515200
348,780607287,"[0, 0]",5,A6L3RSGB7PDZS,1181174400
349,780607287,"[51, 55]",5,A3MCQSIBV7QW8Q,1031443200
350,780607287,"[2, 3]",5,A72120TZV1MTF,954288000
351,780607287,"[0, 0]",5,ASYN7RG93QPAY,1377648000
352,780607287,"[0, 0]",5,A3J8ABVGK7ZL6H,1340150400
353,780607287,"[0, 0]",4,A2QQHIY23PL7H3,1102118400
354,780607287,"[0, 0]",4,A1DUIWDZCNJIHA,1012780800
355,780607287,"[0, 0]",5,A5KKASK7J5YSQ,1374364800
356,780607287,"[1, 5]",4,A1N8K1X0OLLADY,1096329600
357,780607287,"[0, 0]",5,AUPY9X6KN5MWO,1397520000
358,780607287,"[3, 4]",4,AYQF4Z1EQDACU,1093996800
359,780607287,"[0, 0]",5,A1C2I5LZIFDHIQ,1357776000
360,780607287,"[0, 0]",5,A3S98L5B1SR9P1,1143417600
361,783112793,"[0, 0]",5,A2N16PKY6CHP01,1358812800
362,783112793,"[44, 44]",5,AQ8DU6XVA3USJ,1083628800
363,783112793,"[4, 5]",5,A2JCWYSG0MZL7W,1009238400
364,783112793,"[0, 2]",3,A22TBE7SZWHFU4,1175558400
365,783112793,"[0, 0]",5,A2D2Q6LDYM7X4S,1368057600
366,783112793,"[24, 24]",4,A3S5C7Y0WT2Q9N,1018137600
367,783112793,"[1, 1]",4,ACR52P852AKQ2,917395200
368,783112793,"[2, 14]",3,AKL831I4E49Q9,1059091200
369,783112793,"[4, 4]",5,A2NUHWMHA9XNKV,1148428800
370,783112793,"[7, 7]",4,A3NC0TF75JQJ95,1095897600
371,783112793,"[0, 0]",5,A1DR02UYVB2QEM,1210723200
372,783112793,"[0, 0]",5,A2NHURCOLT8V4S,1266969600
373,783112793,"[4, 4]",5,A3F5JV08JUY06C,987465600
374,783223234,"[0, 0]",5,A1RATZ2OLBMCPZ,1393977600
375,783223234,"[0, 0]",4,A35DVTKP3CBYNM,1368835200
376,783223234,"[0, 0]",4,A2RP2S43BN0ZB,1355702400
377,783223234,"[0, 0]",5,A3AD4TMDRWOG0J,1386201600
378,783223234,"[0, 0]",5,A23M34LR1SQHS9,1392076800
379,783227477,"[1, 1]",5,AZXR5HB99P936,1199059200
380,783227477,"[2, 5]",3,A1FEKH66XUTTOP,1245369600
381,783227477,"[67, 70]",5,AQ8DU6XVA3USJ,1097020800
382,783227477,"[3, 6]",4,A3SBSKYRKNESRW,1062892800
383,783227477,"[0, 2]",5,A2NQ95RW02X0H0,958867200
384,783227477,"[18, 19]",5,A1I25F9S8ZR6ET,998697600
385,783227477,"[6, 12]",3,A2Q4TADCY1OA7E,1012089600
386,783227477,"[0, 0]",5,A1XWMLD6IS6FUH,1091145600
387,783227477,"[0, 0]",5,A2IQPJZ5H4OE1G,1395878400
388,783227477,"[12, 13]",4,A291L4JAUEZGOI,1142985600
389,783227477,"[2, 4]",5,AG5KQLECCK46C,1154736000
390,783227477,"[2, 2]",5,A1AZI730ZGAX73,926985600
391,783227477,"[6, 8]",4,A1I2ZVF3K0PQM7,1099526400
392,783227477,"[59, 60]",5,A3BU6QT97HMF,1085443200
393,783227477,"[36, 41]",2,A2DCX9NQ1GPC2X,1144281600
394,783227477,"[2, 2]",5,A2NJO6YE954DBH,1007251200
395,783227477,"[11, 12]",5,AHE4T371JTLE9,1004313600
396,783227477,"[11, 12]",4,A2HJDR4BJI82RR,1128470400
397,783227477,"[9, 9]",5,A32U96RR2TCPA3,995587200
398,783227477,"[4, 5]",5,A12NBCZBIINRM3,964396800
